month,year,Quantity Ordered,Predicted Turnover
1,2020,1.1243828986286637,280.56322949385503
2,2020,1.1243828986286637,280.3617609720386
3,2020,1.1243828986286637,280.1602924502222
4,2020,1.1243828986286637,279.95882392840576
5,2020,1.1243828986286637,279.75735540658934
6,2020,1.1243828986286637,279.5558868847729
7,2020,1.1243828986286637,279.3544183629565
8,2020,1.1243828986286637,279.15294984114007
9,2020,1.1243828986286637,278.95148131932365
10,2020,1.1243828986286637,278.7500127975072
11,2020,1.1243828986286637,278.5485442756908
12,2020,1.1243828986286637,278.3470757538744
