month,year,Quantity Ordered,Predicted Turnover
1,2026,1.1243828986286637,843.7922858182283
2,2026,1.1243828986286637,843.5908172964118
3,2026,1.1243828986286637,843.3893487745954
4,2026,1.1243828986286637,843.187880252779
5,2026,1.1243828986286637,842.9864117309626
6,2026,1.1243828986286637,842.7849432091461
7,2026,1.1243828986286637,842.5834746873297
8,2026,1.1243828986286637,842.3820061655133
9,2026,1.1243828986286637,842.1805376436969
10,2026,1.1243828986286637,841.9790691218805
11,2026,1.1243828986286637,841.777600600064
12,2026,1.1243828986286637,841.5761320782476
